location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Daegu,35.87797,128.65295,53.5,1980,1980-04-11,102
South Korea/Daegu,35.87797,128.65295,53.5,1981,1981-04-09,99
South Korea/Daegu,35.87797,128.65295,53.5,1982,1982-03-31,90
South Korea/Daegu,35.87797,128.65295,53.5,1983,1983-04-07,97
South Korea/Daegu,35.87797,128.65295,53.5,1984,1984-04-14,105
South Korea/Daegu,35.87797,128.65295,53.5,1985,1985-04-09,99
South Korea/Daegu,35.87797,128.65295,53.5,1986,1986-04-01,91
South Korea/Daegu,35.87797,128.65295,53.5,1987,1987-04-05,95
South Korea/Daegu,35.87797,128.65295,53.5,1988,1988-04-12,103
South Korea/Daegu,35.87797,128.65295,53.5,1989,1989-04-03,93
South Korea/Daegu,35.87797,128.65295,53.5,1990,1990-03-03,62
South Korea/Daegu,35.87797,128.65295,53.5,1991,1991-04-09,99
South Korea/Daegu,35.87797,128.65295,53.5,1992,1992-04-03,94
South Korea/Daegu,35.87797,128.65295,53.5,1993,1993-04-04,94
South Korea/Daegu,35.87797,128.65295,53.5,1994,1994-04-06,96
South Korea/Daegu,35.87797,128.65295,53.5,1995,1995-04-08,98
South Korea/Daegu,35.87797,128.65295,53.5,2015,2015-04-01,91
South Korea/Daegu,35.87797,128.65295,53.5,2016,2016-03-31,91
South Korea/Daegu,35.87797,128.65295,53.5,2017,2017-04-02,92
South Korea/Daegu,35.87797,128.65295,53.5,2018,2018-03-29,88
South Korea/Daegu,35.87797,128.65295,53.5,2019,2019-03-26,85
South Korea/Daegu,35.87797,128.65295,53.5,2020,2020-03-27,87
